"Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES"
"YWRGRWXWXDTAMQ-UHFFFAOYNA-N,CHEMBL592856,43,N,3.22,chembl20,613426,9606,ACHE,30,O1P(CCCC(CO)=C1C)(=O)OC"
"BKRYAPWEMVBTBQ-UHFFFAOYNA-N,CHEMBL345241,43,A,8.05,chembl20,29413,9606,ACHE,30,N1(CC2CCCCC2)CCC(CC1)C"
"CIGZFSQBGIINCZ-WXRBYKJCNA-N,CHEMBL182596,43,A,5.85,chembl20,302690,9606,ACHE,30,C(=O)(NCCCC)OCCCCCO"
"HYDVJJJNOATPPP-DHZHZOJONA-N,CHEMBL3126019,43,N,3.5,chembl20,1296453,9606,ACHE,30,C1(=NC=CN1CCCC=C)/C=N/O"
"KCIZTNZGSBSSRM-UHFFFAOYNA-N,CHEMBL156710,43,A,5.31,chembl20,29409,9606,ACHE,30,C1(=C(C=C(C=C1OC)C)OC)OC"
"NTDQQZYCCIDJRK-UHFFFAOYNA-N,CHEMBL195437,43,N,4.94,chembl20,774691,9606,ACHE,30,C=1(C=CC(=CC1)CCCCCCCC)O"
"KDJIRJJIEGFPOG-UHFFFAOYNA-N,CHEMBL103873,43,A,6.1,chembl20,28296,9606,ACHE,30,C(=O)(SCCCCC)OCC[N+](C)(C)C"
"YEONFGVCBBWMFP-DHZHZOJONA-N,CHEMBL1952061,43,N,3.8,chembl20,804208,9606,ACHE,30,C1N=C(/C=N/O)N(CCCC)CC1"
"WYLOOWXXBXLTSC-UHFFFAOYNA-N,CHEMBL102078,43,N,3.3,chembl20,28296,9606,ACHE,30,C(=O)(SCCCC)OCC[N+](C)(C)C"
"ZTQBDHNTLRKOMZ-UHFFFAOYNA-N,46229100,43,A,5.30103,pubchem,462368,9606,ACHE,30,P1(OC(=C(CC1)C(OC)=O)C)(OC)=O"
"AUOBGKPJAJDIMF-GAJRPKRDNA-N,CHEMBL335922,43,A,5.95,chembl20,28154,9606,ACHE,30,C=12C(=NC3=C(C1N)CCC3)OCCC2"
"GYEHUGPUFOMJON-UHFFFAOYNA-N,46229068,43,A,5.1549,pubchem,462368,9606,ACHE,30,P1(OC(=C(CCC1)C(OC)=O)C)(OC)=O"
"JUSFQEVYJNAGHE-YHMJCDSINA-N,CHEMBL181445,43,A,6.44,chembl20,302690,9606,ACHE,30,C(=O)(NCCCC)OCCCCCCCCO"
"HRWOMUZLXQICPU-UHFFFAOYNA-N,CHEMBL343237,43,A,6.74,chembl20,29413,9606,ACHE,30,N1(CCC2=CC=CC=C2)CCC(CC1)C"
"GNZUHDXWKTYAQS-FMIVXFBMNA-N,CHEMBL1952062,43,N,4.68,chembl20,804208,9606,ACHE,30,C1N=C(/C=N/O)N(CCCCC)CC1"
"MLRHSBXBQWKAFV-XYOKQWHBNA-N,CHEMBL3126018,43,N,3.0,chembl20,1296453,9606,ACHE,30,C1(=NC=CN1CCC(C)(C)C)/C=N/O"
"MYPUMOKORCCVMS-UHFFFAOYNA-N,CHEMBL102077,43,N,4.1,chembl20,28296,9606,ACHE,30,C(=O)(SCCCCCC)OCC[N+](C)(C)C"
"NWWRUCBZOXVDBP-UHFFFAOYNA-N,CHEMBL103890,43,N,4.4,chembl20,28296,9606,ACHE,30,C(SC(CC)(C)C)(=O)OCC[N+](C)(C)C"
"NMTIQAPMVDLXIL-UHFFFAOYNA-N,CHEMBL1161674,43,A,6.44,chembl20,307249,9606,ACHE,30,N1=C2C(CCCC2)C(C3C1CCCC3)=N"
"MWXYUIGGCLHWEP-UHFFFAOYNA-N,CHEMBL422338,43,A,7.92,chembl20,29376,9606,ACHE,30,C12=C(C(=O)C(C1)C)C=CC=C2OC"
"PWZKIZAHIAGUMK-UHFFFAOYNA-N,CHEMBL158232,43,A,8.28,chembl20,29413,9606,ACHE,30,N1(CC2=CC=CC=C2)CCC(CC1)C"
"RODXRVNMMDRFIK-UHFFFAOYNA-N,CHEMBL71851,43,N,3.77,chembl20,429662,9606,ACHE,30,C=12OC(=O)C=CC1C=C(OC)C(=C2)O"
"XMVIJBDXRKNDBR-UHFFFAOYNA-N,CHEMBL102226,43,N,4.7,chembl20,28743,9606,ACHE,30,C(=O)(SCCCCCCC)OCC[N+](C)(C)C"
"XOWVPELMLPDDSD-UHFFFAOYNA-N,CHEMBL1922540,43,N,4.19,chembl20,791001,9606,ACHE,30,CP(OC(C(F)(F)F)C(F)(F)F)(=O)OCC#C"
"YBAOERMDQLYCJA-UHFFFAOYNA-N,CHEMBL335108,43,N,3.62,chembl20,29849,9606,ACHE,30,C1(=C([N+](C)(C)C)C=CC=C1OC)C"
"WUFQLZTXIWKION-UHFFFAOYNA-N,CHEMBL355821,43,A,5.43,chembl20,28155,9606,ACHE,30,N1=C2N(CCC2)CC=3C1=CC=CC3"
"YLUSMKAJIQOXPV-DLGLGFIGNA-N,CHEMBL130880,43,A,6.18,chembl20,28154,9606,ACHE,30,N=1C2=C(C(N)=C3C1CCCC3)CCC2"
"ZCCUUQDIBDJBTK-UHFFFAOYNA-N,CHEMBL164660,43,A,5.19,chembl20,972045,9606,ACHE,30,C=1C=2C=C3C(OC(C=C3)=O)=CC2OC1"
"YZUJXHKXTUOUQE-UHFFFAOYNA-N,CHEMBL138988,43,N,3.91,chembl20,29849,9606,ACHE,30,C1=C([N+](C)(C)C)C=CC(=C1OC)C"
"BDWDPIJBKASPLW-UHFFFAOYNA-N,CHEMBL166359,43,N,4.87,chembl20,28155,9606,ACHE,30,N1=C2N(CCCCCCC2)CC=3C1=CC=CC3"
"BAXKIBHBAJDALN-UHFFFAOYNA-N,CHEMBL155768,43,A,5.0,chembl20,29413,9606,ACHE,30,C(N1CCC(CC1)C)(=O)C2=CC=CC=C2"
